"feature","mean_abs_shap"
"exactMass",0.348426978771178
"Un357",0.0831901651877173
"Un714",0.0417162908218778
"Un8428",0.0405446700930134
"Un1224",0.0326504703055974
"Un4394",0.0308534225006653
"Un511",0.0229513664968399
"Un867",0.020447100976399
"Un1200",0.0190183938077838
"Un4816",0.0183995831676715
"Un881",0.0178032858001488
"Un1705",0.0162006260073322
"Un1534",0.0160456967331251
"Un713",0.0157342378730989
"Un8341",0.015685781739551
"Un486",0.0152914677485551
"Un415",0.0147861689358332
"Un2972",0.0130169286813297
"Un1044",0.0127298793215794
"Un341",0.0121087882381849
"Un3050",0.011734441260147
"Un442",0.0112458568691888
"Un1101",0.0108168198973765
"Un4632",0.0100281920300166
"Un1227",0.00976393146184695
"Un469",0.00967354020820464
"Un5364",0.00962467042998084
"Un821",0.00949059699578204
"Un1758",0.00940754470030497
"Un502",0.00921161402400984
"Un5145",0.00920645518177825
"Un493",0.00920424265670266
"Un450",0.0089607171965296
"Un1083",0.00863475667544275
"Un1070",0.00853914109822025
"Un517",0.00849289632855375
"Un1132",0.0083075489443182
"Un1240",0.00807440110223178
"Un456",0.00807068522122603
"Un2247",0.00766459783499614
"Un8285",0.00760054123653734
"Un1225",0.00747174247266747
"Un1171",0.00726108913967181
"Un3956",0.00703922328023593
"Un1500",0.00683805893949028
"Un354",0.00661808425595615
"Un1241",0.00656601341486997
"Un868",0.00644244109170153
"Un980",0.00633944932302956
"Un1097",0.00618790488117465
"Un1141",0.00601068435870448
"Un1209",0.00598711760596776
"Un1305",0.00591558288110934
"Un6218",0.00590489069690596
"Un921",0.00586906105124594
"Un1030",0.00582001965126045
"Un1167",0.00581717858417543
"Un2085",0.00572393615404209
"Un423",0.00567094811858852
"Un430",0.00547980891607448
"Un494",0.00535693859006505
"Un458",0.0051091715897687
"Un8236",0.00483724735973955
"Un481",0.00483375929281749
"Un516",0.00482532120287719
"Un191",0.00482193101635255
"Un1208",0.00478150349163952
"Un1067",0.00475719812407851
"Un874",0.00459539873266809
"Un5120",0.00457056339805515
"Un455",0.00445315286790833
"Un1262",0.00443310860248054
"Un492",0.0042723581418588
"Un5130",0.00424259639286578
"Un4790",0.00408509664421445
"Un497",0.00405653296618761
"Un1325",0.0039946817730772
"Un1756",0.0039600362855465
"Un948",0.00386665029744559
"Un861",0.00382141804124467
"Un465",0.00380730870306138
"Un5146",0.00377885720695493
"Un476",0.00377711304844471
"Un894",0.00369372038063035
"Un477",0.00365476172367666
"Un436",0.00364183120873451
"Un5114",0.00360483314699628
"Un361",0.00348699964293665
"Un5067",0.0034565602433751
"Un5062",0.00342129341295929
"Un4075",0.00341950829940103
"Un5090",0.00341485680847783
"Un8243",0.00334675706462778
"Un1145",0.00330293047756291
"Un5133",0.00324646132987792
"Un1151",0.00323423783604216
"Un433",0.00321003309844067
"Un1063",0.00318435239950758
"Un5152",0.00317928230597165
"Un440",0.00314838469920963
"Un5203",0.00311411011814997
"Un2974",0.00311064464698788
"Un814",0.00308194941404346
"Un5181",0.00307321757397421
"Un1128",0.00304790145808683
"Un5051",0.00302889449200865
"Un8403",0.00295512256816741
"Un5048",0.00291547992074256
"Un487",0.00291206895603876
"Un8441",0.00291199097365256
"Un2062",0.00290988751301301
"Un77",0.00290521082192209
"Un56",0.00285828529771085
"Un1304",0.00280860984848483
"Un5198",0.00272823558045482
"Un1168",0.00270987294180919
"Un1226",0.00270577816306101
"Un1422",0.0026934700324286
"Un1195",0.00268755720382797
"Un1410",0.00266648221589811
"Un70",0.00266139318875989
"Un1852",0.00265293439316695
"Un4863",0.00264329881094231
"Un8433",0.00262341531860048
"Un884",0.0026066349518536
"Un55",0.00260274247401332
"Un489",0.00259636883520292
"Un707",0.00258332305621229
"Un467",0.00255093763490476
"Un4810",0.00254286480358994
"Un491",0.00253908179087005
"Un470",0.0025226886950741
"Un1229",0.00248125142017853
"Un514",0.00245457306273162
"Un5014",0.00243838016852713
"Un8323",0.00242271445643593
"Un1752",0.00239697528787704
"Un482",0.00236871423467139
"Un8390",0.0023676383113568
"Un1121",0.00234591186457297
"Un5116",0.00227177415221792
"Un480",0.00225163987985541
"Un787",0.00224302329518557
"Un5334",0.00221445170257876
"Un2568",0.00219524788480864
"Un466",0.00217040694752594
"Un978",0.00211955460064401
"Un518",0.00207818159918673
"Un8406",0.00204317474901199
"Un395",0.0020389389705351
"Un435",0.00199178946461777
"Un1232",0.0019886193913205
"Un479",0.00198691166197453
"Un1110",0.00190138436688018
"Un958",0.00189448911805305
"Un510",0.00188239032706766
"Un1409",0.00183414709595393
"Un359",0.00180223173827314
"Un2055",0.00180189855543321
"Un1127",0.00179320975760353
"Un1218",0.00179029815243512
"Un355",0.00176225084242181
"Un443",0.00176054474153751
"Un784",0.00171631734773754
"Un5117",0.00169543340380592
"Un1912",0.00165872675074689
"Un441",0.0016500953715674
"Un414",0.00163699584825984
"Un1191",0.00162973031776174
"Un5105",0.00161503849024618
"Un1004",0.00159786740777765
"Un879",0.00158122859896121
"Un505",0.001569251691423
"Un5645",0.00153811341539916
"Un1754",0.00151908660603652
"Un447",0.0015149230699601
"Un4844",0.00151410543330104
"Un5290",0.00151120422251197
"Un4968",0.00149844181856035
"Un356",0.00149492053118653
"Un451",0.00149444089026137
"Un189",0.00148928503078225
"Un428",0.00147784310856852
"Un5135",0.00146722599714352
"Un418",0.00144158313700027
"Un5154",0.00143342517391087
"Un5076",0.00142823224736463
"Un437",0.00141942513800028
"Un1010",0.00141461440572715
"Un4081",0.00139533291298004
"Un8325",0.00139308392878007
"Un385",0.00138922621743121
"Un5126",0.00134726639990936
"Un1708",0.00134298203628631
"Un473",0.00133277932952517
"Un5109",0.00131438958384343
"Un3955",0.0013048123323731
"Un8299",0.00127695536652848
"Un5079",0.001271364094355
"Un5159",0.00124777925299989
"Un1216",0.00121694597347062
"Un463",0.00121048429686512
"Un918",0.00120085679668908
"Un4263",0.00119050407459866
"Un1706",0.00118025110935284
"Un4736",0.00117643762013939
"Un1762",0.00115420453162529
"Un1182",0.00115355935745571
"Un1770",0.00112484886874851
"Un1965",0.00111036798523369
"Un706",0.0011009133240526
"Un873",0.00109710594476882
"Un5158",0.0010807718661702
"Un1790",0.00107944659440999
"Un2601",0.0010502387132195
"Un1346",0.00102863333926213
"Un1184",0.00101276032954473
"Un459",0.00100607001086069
"Un1347",0.00100245767253836
"Un139",0.000990707811064957
"Un1809",0.000982576404835768
"Un673",0.000978484248330549
"Un485",0.00096970788821697
"Un2013",0.000957244345693736
"Un8524",0.000956729170055619
"Un5100",0.000939818111950049
"Un1142",0.000937656823701834
"Un483",0.000935969382740459
"Un1855",0.000921820837806218
"Un5214",0.000916001299081771
"Un1169",0.000906451775004005
"Un5190",0.000906395813160385
"Un2671",0.000877327904710611
"Un8421",0.000865620704375702
"Un197",0.000826068033834253
"Un4982",0.000824754282043018
"Un1207",0.000809595734669394
"Un499",0.000783382683447115
"Un1755",0.000767596367129493
"Un6053",0.000758248519894267
"Un1214",0.00075105575327404
"Un235",0.000737451465651156
"Un1283",0.000727607629893521
"Un674",0.000715113525612223
"Un1068",0.000714079574287417
"Un720",0.000704385289950893
"Un4744",0.000686698736651142
"Un8427",0.000684650442089148
"Un708",0.000674872697593837
"Un1426",0.000672837762733789
"Un461",0.000672041249223453
"Un454",0.00067199777921736
"Un6221",0.000620585028422623
"Un5408",0.000620182857982549
"Un4703",0.000609329814354556
"Un4999",0.00058900864460055
"Un960",0.000565885281713415
"Un434",0.000538193366356459
"Un4807",0.000535644194770969
"Un3053",0.000534558234597128
"Un1099",0.000520256723882128
"Un4558",0.000519302916936567
"Un1174",0.000513762426559365
"Un1107",0.000480225168056142
"Un8221",0.000479598690690891
"Un1211",0.000477450351346891
"Un967",0.000469116478185207
"Un452",0.00046790884139696
"Un72",0.000442762891421063
"Un1286",0.000415044486845978
"Un4783",0.000412652379442246
"Un1190",0.000392984682416821
"Un4777",0.000359878449233389
"Un865",0.000342928529835389
"Un1236",0.000340136347852455
"Un142",0.000337864011192914
"Un5004",0.00032247967036429
"Un8438",0.000302475423757282
"Un2564",0.000289537510676144
"Un920",0.000264928856257809
"Un5112",0.00022154262798803
"Un472",0.000174733931862267
"Un4803",0.00012671487083403
"Un490",0
"Un860",0
"Un1056",0
"Un1094",0
"Un1173",0
"Un1187",0
"Un1192",0
"Un1326",0
"Un1707",0
"Un3670",0
"Un4798",0
"Un5068",0
"Un5127",0
"Un5136",0
"Un5141",0
"Un5148",0
"Un5196",0
"Un5350",0
"Un5703",0
"Un6237",0
