"feature","mean_abs_shap","rank","type","prevalence_1"
"exactMass",0.348426978771178,1,"continuous",NA
"Un357",0.0831901651877173,2,"binary",0.1086
"Un714",0.0417162908218778,3,"binary",0.2117
"Un8428",0.0405446700930134,4,"binary",0.2006
"Un1224",0.0326504703055974,5,"binary",0.429
"Un4394",0.0308534225006653,6,"binary",0.2159
"Un511",0.0229513664968399,7,"binary",0.305
"Un867",0.020447100976399,8,"binary",0.1448
"Un1200",0.0190183938077838,9,"binary",0.2061
"Un4816",0.0183995831676715,10,"binary",0.1964
"Un881",0.0178032858001488,11,"binary",0.0794
"Un1705",0.0162006260073322,12,"binary",0.6741
"Un1534",0.0160456967331251,13,"binary",0.0613
"Un713",0.0157342378730989,14,"binary",0.2563
"Un8341",0.015685781739551,15,"binary",0.0919
"Un486",0.0152914677485551,16,"binary",0.188
"Un415",0.0147861689358332,17,"binary",0.0808
"Un2972",0.0130169286813297,18,"binary",0.1351
"Un1044",0.0127298793215794,19,"binary",0.5613
"Un341",0.0121087882381849,20,"binary",0.3412
